Process                            Events         Σweight           Yield
---------------------------------------------------------------------------
WH-2024M12                             88        0.000095            3.33
WH-2024M15                            238        0.000231            8.07
WH-2024M20                           2554        0.002471           86.32
WH-2024M25                           6078        0.005746          200.77
WH-2024M30                           8188        0.007879          275.29
WH-2024M35                           8859        0.008512          297.39
WH-2024M40                           8264        0.008002          279.57
WH-2024M45                           7608        0.007245          253.14
WH-2024M50                           6979        0.006624          231.42
WH-2024M55                           6922        0.006630          231.64
WH-2024M60                           6638        0.006432          224.71
