Process                            Events         Σweight           Yield
---------------------------------------------------------------------------
WH-2024M12                             56        0.000050            1.76
WH-2024M15                            184        0.000175            6.10
WH-2024M20                           2039        0.001961           68.51
WH-2024M25                           4327        0.004147          144.90
WH-2024M30                           5671        0.005449          190.39
WH-2024M35                           6290        0.006045          211.20
WH-2024M40                           6122        0.005941          207.58
WH-2024M45                           6087        0.005800          202.65
WH-2024M50                           5795        0.005548          193.85
WH-2024M55                           6211        0.005928          207.12
WH-2024M60                           6218        0.006021          210.35
